Aircraft TypeDesignator,Class,Number+Engine Type,"MANUFACTURER, Model"
DH84,LandPlane,2/Piston,"DE HAVILLAND, DH-84 Dragon"
DH85,LandPlane,1/Piston,"DE HAVILLAND, DH-85 Leopard Moth"
DH87,LandPlane,1/Piston,"DE HAVILLAND, DH-87 Hornet Moth"
DH88,LandPlane,2/Piston,"DE HAVILLAND, DH-88 Comet Replica"
DH89,LandPlane,2/Piston,"DE HAVILLAND, DH-89 Dragon Rapide"
DH8A,LandPlane,2/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-8-100 Dash 8"
DH8B,LandPlane,2/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-8-200 Dash 8"
DH8C,LandPlane,2/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-8-300 Dash 8"
DH8D,LandPlane,2/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-8-400 Dash 8"
DH90,LandPlane,2/Piston,"DE HAVILLAND, DH-90 Dragonfly"
DH94,LandPlane,1/Piston,"DE HAVILLAND, DH-94 Moth Minor"
DHA3,LandPlane,3/Piston,"DE HAVILLAND AUSTRALIA, DHA-3 Drover"
DHC1,LandPlane,1/Piston,"DE HAVILLAND, DHC-1 Chipmunk"
DHC2,LandPlane,1/Piston,"DE HAVILLAND CANADA, DHC-2 Mk1 Beaver"
DHC3,LandPlane,1/Piston,"DE HAVILLAND CANADA, DHC-3 Otter"
DHC4,LandPlane,2/Piston,"DE HAVILLAND CANADA, DHC-4 Caribou"
DHC5,LandPlane,2/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-5 Buffalo"
DHC6,LandPlane,2/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-6 Twin Otter"
DHC7,LandPlane,4/Turboprop/Turboshaft,"DE HAVILLAND CANADA, DHC-7 Dash 7"
DIES,LandPlane,1/Piston,"PENNEC-LUCAS, Dieselis"
DIJ3,LandPlane,1/Piston,"DIJKMAN-DULKES, Dijkhastar 3"
DIJ4,Amphibian,1/Piston,"DIJKMAN-DULKES, Dijkhastar 4"
DIMO,LandPlane,1/Piston,"DIAMOND, HK-36 Super Dimona"
DINO,LandPlane,1/Piston,"GANZAVIA, GAK-22 Dinó"
DIPR,Amphibian,1/Piston,"COLLINS, Dipper"
DISC,LandPlane,1/Piston,"SCHEMPP-HIRTH, Discus 2T"
DJET,LandPlane,1/Jet,"DIAMOND, DJ-1 D-Jet"
DJIN,Helicopter,1/Turboprop/Turboshaft,"SUD-OUEST, SO-1221 Djinn"
DLH2,LandPlane,1/Electric,"LANGE, E-1 Antares DLR-H2"
DNGO,Amphibian,1/Turboprop/Turboshaft,"AERORIC, Dingo"
DO27,LandPlane,1/Piston,"DORNIER, Do-27"
DO28,LandPlane,2/Piston,"DORNIER, Do-28"
DOCX,LandPlane,1/Piston,"KOVACH-ELMENDORF, ES-3 Doc's RX"
DON,LandPlane,1/Piston,"UNIKOMTRANSO, Don"
DOVE,LandPlane,2/Piston,"DE HAVILLAND, DH-104 Dove"
DR1,LandPlane,1/Piston,"FOKKER, Dr-1 Replica"
DR10,LandPlane,1/Piston,"CENTRE EST, DR-1050 Ambassadeur"
DR22,LandPlane,1/Piston,"CENTRE EST, DR-220 2+2"
DR30,LandPlane,1/Piston,"ROBIN, DR-300"
DR40,LandPlane,1/Piston,"ROBIN, DR-400 2+2"
DRAG,Helicopter,1/Piston,"DRAGON FLY, Dragon Fly"
DRIF,LandPlane,1/Piston,"AUSTFLIGHT, Drifter"
DRTG,LandPlane,1/Piston,"DART, G"
DSA1,LandPlane,1/Piston,"SMITH (1), DSA-1 Miniplane"
DSK,LandPlane,1/Piston,"KILLINGSWORTH, DSK-1 Hawk"
DSLK,LandPlane,1/Piston,"DRIGGS, Skylark"
DT45,LandPlane,1/Turboprop/Turboshaft,"DIAMOND, DART-450"
DTA1,LandPlane,1/Piston,"VERHEES, D-1 Delta"
DTA2,LandPlane,1/Piston,"VERHEES, D-2 Delta"
DUB2,LandPlane,1/Piston,"DUBNA, 2 Osa"
DUCE,LandPlane,1/Piston,"BAKENG, Duce"
DUOD,LandPlane,1/Piston,"SCHEMPP-HIRTH, Duo Discus T"
DUR5,LandPlane,1/Piston,"DURAND, Mk5"
DV1,LandPlane,1/Piston,"DOVA, DV-1 Skylark"
DV2,LandPlane,1/Piston,"DOVA, DV-2 Infinity"
DV20,LandPlane,1/Piston,"DIAMOND, DV-20 Katana"
DW1,LandPlane,1/Piston,"EAGLE, DW-1 Eagle"
DWD2,LandPlane,1/Piston,"DEWOITINE, D-26"
DYH2,Helicopter,1/Piston,"DYNALI, H-2"
DYH3,Helicopter,1/Piston,"DYNALI, H-3 EasyFlyer"
E110,LandPlane,2/Turboprop/Turboshaft,"EMBRAER, EMB-110 Bandeirante"
E120,LandPlane,2/Turboprop/Turboshaft,"EMBRAER, EMB-120 Brasilia"
E121,LandPlane,2/Turboprop/Turboshaft,"EMBRAER, EMB-121 Xingu"
E135,LandPlane,2/Jet,"EMBRAER, ERJ-135"
E145,LandPlane,2/Jet,"EMBRAER, ERJ-145EP"
E170,LandPlane,2/Jet,"EMBRAER, ERJ-170-100"
E190,LandPlane,2/Jet,"EMBRAER, ERJ-190-100"
E195,LandPlane,2/Jet,"EMBRAER, ERJ-190-200"
E2,LandPlane,2/Turboprop/Turboshaft,"GRUMMAN, E-2 Hawkeye"
E200,LandPlane,1/Piston,"EXTRA, EA-200"
E230,LandPlane,1/Piston,"EXTRA, EA-230"
E275,LandPlane,2/Jet,"EMBRAER, ERJ-190-500"
E290,LandPlane,2/Jet,"EMBRAER, ERJ-190-300"
E295,LandPlane,2/Jet,"EMBRAER, ERJ-190-400"
E29E,LandPlane,1/Electric,"BINDER (2), EB-29DE"
E2CB,LandPlane,1/Piston,"TAYLOR (1), E-2 Cub"
E300,LandPlane,1/Piston,"EXTRA, EA-300"
E314,LandPlane,1/Turboprop/Turboshaft,"EMBRAER, EMB-314 Super Tucano"
E350,LandPlane,1/Turboprop/Turboshaft,"CESSNA, E350"
E35L,LandPlane,2/Jet,"EMBRAER, EMB-135BJ Legacy"
E390,LandPlane,2/Jet,"EMBRAER, EMB-390"
E3CF,LandPlane,4/Jet,"BOEING, E-3A (CFM56) Sentry"
E3TF,LandPlane,4/Jet,"BOEING, E-3A (TF33) Sentry"
E400,LandPlane,1/Piston,"EXTRA, EA-400"
E45X,LandPlane,2/Jet,"EMBRAER, EMB-145XR"
E500,LandPlane,1/Turboprop/Turboshaft,"EXTRA, EA-500"
E50P,LandPlane,2/Jet,"EMBRAER, EMB-500 Phenom 100"
E530,LandPlane,2/Jet,"CESSNA, E530 Scorpion"
E545,LandPlane,2/Jet,"EMBRAER, EMB-545 Praetor 500"
E550,LandPlane,2/Jet,"EMBRAER, EMB-550 Praetor 600"
E55P,LandPlane,2/Jet,"EMBRAER, EMB-505 Phenom 300"
E6,LandPlane,4/Jet,"BOEING, E-6 Mercury"
E737,LandPlane,2/Jet,"BOEING, 737-700 Wedgetail"
E75L,LandPlane,2/Jet,"EMBRAER, ERJ-170-200 (long wing)"
E75S,LandPlane,2/Jet,"EMBRAER, ERJ-170-200 (short wing)"
E767,LandPlane,2/Jet,"BOEING, E-767"
E7BH,LandPlane,1/Piston,"E-7 GROUP, E-7 Bush Hog"
E8,LandPlane,4/Jet,"NORTHROP GRUMMAN, E-8 Joint Stars"
EA40,LandPlane,1/Jet,"ECLIPSE, Eclipse 400"
EA50,LandPlane,2/Jet,"ECLIPSE, Eclipse 500"
EAEA,LandPlane,1/Piston,"GROSSO, Easy Eagle"
EAGL,LandPlane,1/Piston,"CHRISTEN, Eagle"
EAGT,LandPlane,1/Piston,"AMEAGLE, American Eaglet"
EAGX,LandPlane,1/Piston,"EAGLE AIRCRAFT, Eagle 150"
EB29,LandPlane,1/Piston,"BINDER (2), EB-29"
EBOY,LandPlane,1/Piston,"FMA, 20 El Boyero"
EC20,Helicopter,1/Turboprop/Turboshaft,"AIRBUS HELICOPTERS, EC-120 Colibri"
EC25,Helicopter,2/Turboprop/Turboshaft,"AIRBUS HELICOPTERS, EC-225 Super Puma Mk2+"
EC30,Helicopter,1/Turboprop/Turboshaft,"AIRBUS HELICOPTERS, EC-130"
EC35,Helicopter,2/Turboprop/Turboshaft,"AIRBUS HELICOPTERS, EC-135"
EC45,Helicopter,2/Turboprop/Turboshaft,"AIRBUS HELICOPTERS-KAWASAKI, EC-145"
EC55,Helicopter,2/Turboprop/Turboshaft,"AIRBUS HELICOPTERS, EC-155"
EC6,LandPlane,1/Piston,"CROSES, EC-6 Criquet"
EC75,Helicopter,2/Turboprop/Turboshaft,"AIRBUS HELICOPTERS-HARBIN, EC-175"
ECHO,LandPlane,1/Piston,"TECNAM, P-92 Echo"
EDGE,LandPlane,1/Piston,"ZIVKO, Edge 540"
EDGT,LandPlane,1/Piston,"ZIVKO, Edge 540 T"
EF2,LandPlane,1/Electric,"BYE AEROSPACE, eFlyer 2"
EFAN,LandPlane,2/Electric,"AIRBUS, E-Fan"
EFOX,LandPlane,1/Piston,"AEROPRO, Eurofox"
EFUS,LandPlane,1/Electric,"MAGNUS, MG-11 eFusion"
EGL3,Helicopter,1/Turboprop/Turboshaft,"ROTORWAY, Eagle 300T"
EGRT,LandPlane,1/Turboprop/Turboshaft,"GROB, D-500 Egrett 2"
EH10,Helicopter,3/Turboprop/Turboshaft,"AGUSTAWESTLAND, AW-101"
EL10,Gyrocopter,1/Piston,"ELA AVIACION, ELA-10 Eclipse"
EL20,LandPlane,1/Piston,"ELITAR, IE-202"
ELA7,Gyrocopter,1/Piston,"ELA AVIACION, ELA-07"
ELF,LandPlane,1/Piston,"PARNALL, Elf"
ELIT,LandPlane,2/Jet,"EPIC AIRCRAFT, Epic Elite"
ELPS,LandPlane,1/Piston,"EXPLORER (1), Ellipse"
ELSP,LandPlane,1/Piston,"A2 CZ, Ellipse Spirit"
ELST,LandPlane,1/Piston,"PUTZER, Elster"
ELTO,Helicopter,1/Piston,"CONTINENTAL COPTERS, El Tomcat"
ELTR,LandPlane,1/Piston,"ELITAR, IE-101 Elitar"
EM10,LandPlane,1/Jet,"MARGANSKI, EM-10 Bielik"
EM11,LandPlane,2/Piston,"MARGANSKI, EM-11 Orka"
EN28,Helicopter,1/Piston,"ENSTROM, 280 Shark"
EN48,Helicopter,1/Turboprop/Turboshaft,"ENSTROM, 480"
EP9,LandPlane,1/Piston,"LANCASHIRE, EP-9 Prospector"
EPER,LandPlane,1/Piston,"EPERVIER (1), Epervier"
EPIC,LandPlane,1/Turboprop/Turboshaft,"EPIC AIRCRAFT, E1000"
EPX1,LandPlane,1/Piston,"EPERVIER (2), X-1"
ERAC,LandPlane,1/Piston,"DICKEY, E-Racer"
ERCO,LandPlane,1/Piston,"ERCO, 415 Ercoupe"
ES11,Helicopter,1/Turboprop/Turboshaft,"ALPI, AH-130 Syton"
ES13,LandPlane,1/Piston,"EARLY BIRD, Spad 13 80%"
ESCA,LandPlane,1/Turboprop/Turboshaft,"EPIC AIRCRAFT, Epic Escape"
ESCP,LandPlane,1/Piston,"JUST, Escapade"
ESQL,LandPlane,1/Piston,"MOURA, Esqualo"
ETA,LandPlane,1/Piston,"ETA AIRCRAFT, Eta"
ETAR,LandPlane,1/Jet,"DASSAULT, Super Etendard"
EUFI,LandPlane,2/Jet,"EUROFIGHTER, Eurofighter 2000"
EUPA,LandPlane,1/Piston,"EUROPA, Europa"
EURT,LandPlane,1/Piston,"FFT, Eurotrainer 2000"
EV55,LandPlane,2/Piston,"EVEKTOR, EV-55 Outback"
EV97,LandPlane,1/Piston,"EVEKTOR, EV-97 EuroStar"
EVAN,LandPlane,2/Piston,"EVANGEL, 4500 Evangel"
EVIC,LandPlane,1/Jet,"EPIC AIRCRAFT, Epic Victory"
EVOP,LandPlane,1/Piston,"LANCAIR, Evolution Piston"
EVOT,LandPlane,1/Turboprop/Turboshaft,"LANCAIR, Evolution Turbine"
EVSS,LandPlane,1/Piston,"EVEKTOR, SportStar"
EX5T,LandPlane,1/Turboprop/Turboshaft,"AEA, Explorer 500T"
EXEC,Helicopter,1/Piston,"ROTORWAY, Exec"
EXEJ,Helicopter,1/Turboprop/Turboshaft,"ROTORWAY, JetExec"
EXNG,LandPlane,1/Piston,"EXTRA, NG"
EXPL,Helicopter,2/Turboprop/Turboshaft,"MCDONNELL DOUGLAS, MD-900 Explorer"
EXPR,LandPlane,1/Piston,"EXPRESS, Express 2000RG"
EZFL,LandPlane,1/Piston,"BLUE YONDER, E-Z Flyer"
EZFT,LandPlane,2/Piston,"BLUE YONDER, Twin E-Z Flyer"
EZHV,LandPlane,1/Piston,"BLUE YONDER, E-Z Harvard"
EZIK,LandPlane,1/Piston,"ISTRA, Ezhik"
EZKC,LandPlane,1/Piston,"BLUE YONDER, E-Z King Cobra"
F1,LandPlane,2/Jet,"MITSUBISHI, F-1"
F100,LandPlane,2/Jet,"FOKKER, 100"
F104,LandPlane,1/Jet,"LOCKHEED, F-104 Starfighter"
F106,LandPlane,1/Jet,"CONVAIR, QF-106 Delta Dart"
F111,LandPlane,2/Jet,"GENERAL DYNAMICS, F-111 Aardvark"
F117,LandPlane,2/Jet,"LOCKHEED, F-117 Nighthawk"
F13,LandPlane,1/Piston,"JUNKERS, F-13 Replica"
F14,LandPlane,2/Jet,"GRUMMAN, F-14 Tomcat"
F15,LandPlane,2/Jet,"MCDONNELL DOUGLAS, F-15 Eagle"
F156,LandPlane,1/Piston,"FIESELER, Fi-156 Storch"
F16,LandPlane,1/Jet,"GENERAL DYNAMICS, F-16 Fighting Falcon"
F18H,LandPlane,2/Jet,"MCDONNELL DOUGLAS, FA-18C Hornet"
F18S,LandPlane,2/Jet,"MCDONNELL DOUGLAS, FA-18E Super Hornet"
F1FV,LandPlane,1/Piston,"AVION, F-1 Favorit"
F2,LandPlane,1/Jet,"MITSUBISHI, F-2"
F22,LandPlane,2/Jet,"LOCKHEED MARTIN, F-22 Raptor"
F260,LandPlane,1/Piston,"SIAI-MARCHETTI, SF-260"
F26T,LandPlane,1/Turboprop/Turboshaft,"SIAI-MARCHETTI, SF-260T"
F27,LandPlane,2/Turboprop/Turboshaft,"FOKKER, F-27 Friendship"
F28,LandPlane,2/Jet,"FOKKER, F-28 Fellowship"
F2TH,LandPlane,2/Jet,"DASSAULT, Falcon 2000"
F30,LandPlane,1/Piston,"GOLDEN CAR, F-30 Brio"
F35,LandPlane,1/Jet,"LOCKHEED MARTIN, F-35C Lightning 2"
F3F,LandPlane,1/Piston,"GRUMMAN, F3F Replica"
F4,LandPlane,2/Jet,"MCDONNELL DOUGLAS, F-4 Phantom 2"
F402,LandPlane,1/Turboprop/Turboshaft,"FALCON AIR, Falcon 402"
F406,LandPlane,2/Turboprop/Turboshaft,"CESSNA, F406 Caravan 2"
F41E,LandPlane,2/Piston,"AEROSAMARA, F-41 El'brus"
F421,LandPlane,1/Turboprop/Turboshaft,"FALCON AIR, Falcon 421"
F5,LandPlane,2/Jet,"NORTHROP, F-5 Freedom Fighter"
F50,LandPlane,2/Turboprop/Turboshaft,"FOKKER, 50"
F5SA,LandPlane,2/Jet,"IRIAF, S-100 Saeghe"
F60,LandPlane,2/Turboprop/Turboshaft,"FOKKER, 60"
F600,LandPlane,2/Turboprop/Turboshaft,"VULCANAIR, SF-600 Canguro"
F70,LandPlane,2/Jet,"FOKKER, 70"
F8,LandPlane,1/Jet,"CHANCE VOUGHT, F8U Crusader"
F86,LandPlane,1/Jet,"NORTH AMERICAN, F-86 Sabre"
F8L,LandPlane,1/Piston,"SEQUOIA, F-8L Falco"
F900,LandPlane,3/Jet,"DASSAULT, Falcon 900"
F9F,LandPlane,1/Jet,"GRUMMAN, F9F Panther"
FA01,LandPlane,1/Piston,"FLÄMING AIR, FA-01 Saphir"
FA02,LandPlane,1/Piston,"FLÄMING AIR, FA-02 Smaragd VLA"
FA03,LandPlane,1/Piston,"FLÄMING AIR, FA-03 Smaragd TMG"
FA04,LandPlane,1/Piston,"FLÄMING AIR, FA-04 Peregrine"
FA10,LandPlane,2/Jet,"DASSAULT, Falcon 10"
FA11,LandPlane,1/Piston,"FAIRCHILD (2), F-11 Husky"
FA20,LandPlane,2/Jet,"DASSAULT, Falcon 20"
FA24,LandPlane,1/Piston,"FAIRCHILD (1), F-24 Argus"
FA50,LandPlane,3/Jet,"DASSAULT, Falcon 50"
FA62,LandPlane,1/Piston,"FAIRCHILD (1), PT-19 Cornell"
FA6X,LandPlane,2/Jet,"DASSAULT, Falcon 6X"
FA7X,LandPlane,3/Jet,"DASSAULT, Falcon 7X"
FA8X,LandPlane,3/Jet,"DASSAULT, Falcon 8X"
FAET,LandPlane,1/Piston,"ATEC, 321 Faeta"
FALC,LandPlane,1/Piston,"AMERICAN AIRCRAFT, Falcon XP"
FALM,LandPlane,1/Piston,"MILES, M-3 Falcon Major"
FANL,LandPlane,1/Piston,"RHEIN, FL-1 Fanliner"
FANT,LandPlane,1/Turboprop/Turboshaft,"RHEIN, Fantrainer"
FB1A,LandPlane,1/Piston,"BOWERS, Fly Baby 1A"
FB1B,LandPlane,1/Piston,"BOWERS, Fly Baby 1B"
FB5,LandPlane,1/Piston,"EURO-FLY, FB-5 Star Light"
FBA2,LandPlane,1/Piston,"FOUND, FBA-2 Bush Hawk"
FBIR,LandPlane,1/Piston,"FREEWING, Freebird Mk5"
FC1,LandPlane,1/Jet,"CHENGDU, FC-1 Xiaolong"
FD2E,LandPlane,1/Electric,"FLIGHT DESIGN, F-2e"
FDCT,LandPlane,1/Piston,"FLIGHT DESIGN, CT"
FDF2,LandPlane,1/Piston,"FLIGHT DESIGN, F-2"
FDMC,LandPlane,1/Piston,"FLIGHT DESIGN, MC"
FE51,LandPlane,1/Piston,"FIGHTER ESCORT WINGS, P-51"
FEST,LandPlane,1/Piston,"AEROSTAR (2), R40S Festival"
FFLY,LandPlane,1/Piston,"FAIREY, Firefly"
FG01,LandPlane,1/Piston,"FARIGOUX, FG-01 Origan"
FGT,LandPlane,1/Piston,"MIDWEST AEROSPORT, Formula GT"
FH11,Helicopter,1/Turboprop/Turboshaft,"FAIRCHILD HILLER, FH-1100"
FIBO,LandPlane,1/Piston,"STARFIRE, Firebolt Convertible"
FIKD,LandPlane,1/Piston,"FIKE, D"
FIKE,LandPlane,1/Piston,"FIKE, E"
FINC,LandPlane,1/Piston,"FLEET, 16 Finch"
FJ10,LandPlane,2/Jet,"AEROSTAR (1), FJ-100"
FJR3,LandPlane,1/Piston,"FAJR, F-3"
FK12,LandPlane,1/Piston,"B & F TECHNIK, FK-12 Comet"
FK14,LandPlane,1/Piston,"B & F TECHNIK, FK-14 Polaris"
FK9,LandPlane,1/Piston,"B & F TECHNIK, FK-9"
FL3,LandPlane,1/Piston,"AVIA (1), L-3 Aviastarlet"
FL53,LandPlane,1/Piston,"METEOR, FL-53"
FL54,LandPlane,1/Piston,"METEOR, FL-54"
FL55,LandPlane,1/Piston,"METEOR, FL-55"
FLAM,LandPlane,2/Piston,"DASSAULT, MD-311 Flamant"
FLCO,LandPlane,1/Piston,"SELEX ES, Falco"
FLE2,LandPlane,1/Piston,"FLEET, 2"
FLE7,LandPlane,1/Piston,"FLEET, 7 Fawn"
FLIZ,LandPlane,1/Piston,"FLITZER, Z-1 Flitzer"
FLSH,LandPlane,1/Piston,"EURO-FLY, Flash"
FLSS,LandPlane,1/Piston,"KOLB, Flyer SS"
FM25,LandPlane,1/Piston,"FLYING MACHINES, FM-250 Vampire"
FMGO,LandPlane,1/Piston,"AAK, Flamingo"
FN33,Amphibian,1/Piston,"SIAI-MARCHETTI, FN-333 Riviera"
FNKB,LandPlane,1/Piston,"AKRON, Funk B"
FOOF,LandPlane,1/Piston,"STEWART (2), JD-2 Foo Fighter"
FORT,LandPlane,1/Piston,"FLEET, 60 Fort"
FOUG,LandPlane,2/Jet,"FOUGA, CM-170R Magister"
FOX,LandPlane,1/Piston,"DENNEY, Kitfox"
FOXT,LandPlane,1/Piston,"TEAM TANGO, Foxtrot-4"
FRBD,LandPlane,1/Piston,"NORTHROP GRUMMAN, Firebird"
FREE,LandPlane,1/Piston,"CABRINHA, RC-412 Free Spirit"
FREL,Helicopter,3/Turboprop/Turboshaft,"AEROSPATIALE, SA-321 Super Frelon"
FRNT,LandPlane,1/Piston,"SKY RAIDER, Frontier"
FRON,LandPlane,1/Piston,"FRONTIER, Frontier MD-2"
FS51,LandPlane,1/Piston,"FALCONAR, SAL P-51D Mustang"
FT30,LandPlane,1/Piston,"NAI, FT-300"
FU24,LandPlane,1/Piston,"FLETCHER, FU-24"
FURY,LandPlane,1/Piston,"HAWKER, Sea Fury"
FUSI,LandPlane,1/Piston,"MAGNUS, MG-11 Fusion"
FW02,Amphibian,1/Piston,"FLYWHALE, FW-02 Flywhale"
FW19,LandPlane,1/Piston,"FOUR WINDS, 192"
FW21,LandPlane,1/Piston,"FOUR WINDS, FX-210"
FW44,LandPlane,1/Piston,"FOCKE-WULF, Fw-44 Stieglitz"
FW90,LandPlane,1/Piston,"FOCKE-WULF, Fw-190 Replica"
FWSB,Amphibian,1/Piston,"FLEETWINGS, F-4 Sea Bird"
FX1,LandPlane,1/Piston,"INNOVAVIATION, FX-1"
G1,LandPlane,1/Piston,"G1 AVIATION, G-1 Gélinotte"
G103,LandPlane,1/Piston,"GROB, G-103C Twin 3SL"
G109,LandPlane,1/Piston,"GROB, G-109 Ranger"
G115,LandPlane,1/Piston,"GROB, G-115"
G120,LandPlane,1/Piston,"GROB, G-120 Snunit"
G12T,LandPlane,1/Turboprop/Turboshaft,"GROB, G-120TP"
G140,LandPlane,1/Turboprop/Turboshaft,"GROB, G-140TP"
G150,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, Gulfstream G150"
G159,LandPlane,2/Turboprop/Turboshaft,"GRUMMAN, G-159 Gulfstream 1"
G15T,LandPlane,1/Piston,"GROB, G-115T Acro"
G160,LandPlane,1/Turboprop/Turboshaft,"GROB, G-160 Ranger"
G164,LandPlane,1/Piston,"GRUMMAN, G-164 Ag-Cat"
G180,LandPlane,1/Piston,"GENERAL AIRCRAFT, G1-80 Skyfarer"
G200,LandPlane,1/Piston,"GILES, G-200"
G202,LandPlane,1/Piston,"GILES, G-202"
G21,Amphibian,2/Piston,"GRUMMAN, G-21A Goose"
G21M,Amphibian,4/Piston,"MCKINNON, G-21C Goose"
G21T,Amphibian,2/Turboprop/Turboshaft,"MCKINNON, G-21E Turbo Goose"
G222,LandPlane,2/Turboprop/Turboshaft,"ALENIA, G-222"
G250,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, Gulfstream G250"
G280,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, Gulfstream G280"
G2CA,Helicopter,1/Piston,"GUIMBAL, G-2 Cabri"
G2GL,LandPlane,1/Jet,"SOKO, G-2 Galeb"
G2T1,LandPlane,1/Piston,"GREAT LAKES, 2T-1 Sport"
G3,LandPlane,1/Piston,"REMOS, G-3 Mirage"
G300,LandPlane,1/Piston,"GILES, G-300"
G44,Amphibian,2/Piston,"GRUMMAN, G-44 Widgeon"
G46,LandPlane,1/Piston,"FIAT, G-46"
G4SG,LandPlane,1/Jet,"SOKO, G-4 Super Galeb"
G59,LandPlane,1/Piston,"FIAT, G-59"
G64T,LandPlane,1/Turboprop/Turboshaft,"GRUMMAN, G-164 Turbo Ag-Cat"
G70,LandPlane,1/Piston,"GROPPO, G-70"
G73,Amphibian,2/Piston,"GRUMMAN, G-73 Mallard"
G73T,Amphibian,2/Turboprop/Turboshaft,"GRUMMAN, G-73T Turbo Mallard"
G800,LandPlane,1/Piston,"GRINVALDS, G-801 Orion"
G850,LandPlane,2/Piston,"GROB, G-850 Strato 2C"
G96,LandPlane,2/Piston,"GRUMMAN, G-96 Trader"
G97,LandPlane,1/Piston,"SAI (2), G-97 Spotter"
GA10,LandPlane,1/Turboprop/Turboshaft,"GIPPSAERO, GA-10"
GA20,LandPlane,1/Piston,"GIPPSLAND, GA-200 Fatman"
GA5C,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, G-7 Gulfstream G500"
GA6C,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, G-7 Gulfstream G600"
GA7,LandPlane,2/Piston,"GRUMMAN AMERICAN, GA-7 Cougar"
GA7C,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, G-8 Gulfstream G700"
GA8,LandPlane,1/Piston,"GIPPSLAND, GA-8 Airvan"
GA8C,LandPlane,2/Jet,"GULFSTREAM, G800"
GABR,LandPlane,1/Piston,"BLACKSHAPE, Bk-160 Gabriel"
GALX,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, Gulfstream G200"
GANT,LandPlane,/Turboprop/Turboshaft,"FAIREY, Gannet"
GAUN,LandPlane,1/Piston,"GLOSTER, Gauntlet"
GAVI,LandPlane,1/Piston,"GAVILAN, EL-1 Gavilan 358"
GAZL,Helicopter,1/Turboshaft,"AEROSPATIALE, SA-342 Gazelle"
GB1,LandPlane,1/Piston,"GAME COMPOSITES, GB-1 GameBird"
GBSP,LandPlane,1/Piston,"BEETS, GB Special"
GC1,LandPlane,1/Piston,"GLOBE, GC-1 Swift"
GDUK,Amphibian,2/Piston,"ELLISON-MAHON, Gweduck"
GEMI,LandPlane,2/Piston,"MILES, M-65 Gemini"
GENI,LandPlane,1/Electric,"IFB, E-Genius"
GEPE,LandPlane,1/Piston,"AERO SERVICES, Guêpe"
GF20,LandPlane,1/Piston,"GROB, GF-200"
GFLY,LandPlane,1/Jet,"SCALED, 311 Global Flyer"
GL5T,LandPlane,2/Jet,"BOMBARDIER, Global 5000"
GL7T,LandPlane,2/Jet,"BOMBARDIER, Global 7000"
GLAD,LandPlane,1/Piston,"GLOSTER, Gladiator"
GLAS,LandPlane,1/Piston,"STODDARD-HAMILTON, Glasair"
GLEX,LandPlane,2/Jet,"BOMBARDIER, Global Express"
GLF2,LandPlane,2/Jet,"GRUMMAN, Gulfstream 2"
GLF3,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, Gulfstream 3"
GLF4,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, Gulfstream 4"
GLF5,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, Gulfstream 5"
GLF6,LandPlane,2/Jet,"GULFSTREAM AEROSPACE, Gulfstream G650"
GLSP,LandPlane,1/Piston,"NEW GLASTAR, Sportsman 2+2"
GLST,LandPlane,1/Piston,"STODDARD-HAMILTON, SH-4 GlaStar"
GM01,LandPlane,1/Piston,"YALO, GM-01 Gniady"
GM17,LandPlane,1/Turboprop/Turboshaft,"INTRACOM, GM-17  Viper"
GMGC,LandPlane,1/Piston,"IBIS (2), Grand Magic"
GNAT,LandPlane,1/Jet,"FOLLAND, Fo-144 Gnat"
GOBU,Gyrocopter,1/Piston,"BUTTERFLY, Golden Butterfly"
GOLF,LandPlane,1/Piston,"TECNAM, P-96 Golf"
GOOS,Amphibian,1/Piston,"QUIKKIT, Glass Goose"
GOTR,LandPlane,1/Piston,"GOAIR, GT-1 Trainer"
GP1,LandPlane,1/Piston,"JIHLAVAN, Skyleader GP One"
GP3,Amphibian,1/Piston,"PEREIRA, GP-3 Osprey 2"
GP4,LandPlane,1/Piston,"PEREIRA, GP-4"
GPRO,LandPlane,1/Piston,"GENEVATION, GenPro"
GR51,LandPlane,1/Turboprop/Turboshaft,"CAMERON, P-51G Grand 51"
GRAF,LandPlane,1/Piston,"LUNDY, Graflite"
GRFN,LandPlane,1/Piston,"GRIFFON AERO, Griffon"
GRIF,LandPlane,1/Piston,"CANADA AIR RV, Griffin"
GRIZ,LandPlane,1/Turboprop/Turboshaft,"AEROTEK (3), Turbo Grizzly"
GSIS,LandPlane,1/Piston,"SLIPSTREAM, Ultra Sport"
